iter	Passed	Remaining
0	135	135684
1	136	68288
2	137	45777
3	138	34546
4	139	27813
5	140	23308
6	141	20078
7	142	17661
8	143	15794
9	144	14300
10	145	13070
11	147	12109
12	149	11338
13	150	10592
14	151	9958
15	153	9420
16	154	8917
17	155	8476
18	157	8112
19	158	7770
20	159	7451
21	161	7187
22	163	6937
23	164	6688
24	165	6473
25	166	6255
26	167	6051
27	168	5866
28	170	5695
29	171	5535
30	172	5384
31	174	5285
32	178	5230
33	180	5131
34	181	5011
35	183	4902
36	184	4797
37	185	4693
38	186	4592
39	187	4500
40	188	4413
41	189	4330
42	192	4293
43	194	4227
44	195	4154
45	197	4086
46	199	4046
47	200	3978
48	201	3915
49	203	3869
50	204	3809
51	205	3755
52	208	3724
53	209	3671
54	210	3622
55	211	3570
56	212	3519
57	214	3476
58	215	3429
59	216	3384
60	217	3350
61	218	3308
62	219	3267
63	221	3232
64	222	3206
65	224	3175
66	225	3138
67	226	3102
68	227	3070
69	228	3037
70	229	3005
71	230	2975
72	231	2945
73	232	2915
74	233	2885
75	235	2857
76	237	2850
77	238	2824
78	240	2798
79	241	2772
80	242	2747
81	243	2723
82	243	2694
83	245	2672
84	246	2649
85	248	2644
86	249	2622
87	252	2613
88	253	2593
89	254	2572
90	255	2552
91	256	2531
92	257	2513
93	258	2494
94	259	2475
95	260	2457
96	261	2438
97	262	2420
98	263	2402
99	264	2384
100	267	2376
101	268	2362
102	269	2346
103	270	2329
104	271	2315
105	272	2300
106	273	2285
107	274	2270
108	276	2256
109	276	2241
110	277	2225
111	279	2212
112	279	2197
113	283	2199
114	284	2186
115	285	2174
116	286	2159
117	287	2146
118	288	2132
119	289	2120
120	290	2108
121	291	2094
122	292	2082
123	293	2070
124	293	2057
125	295	2046
126	298	2048
127	299	2038
128	300	2030
129	301	2020
130	302	2009
131	303	1998
132	305	1988
133	306	1978
134	307	1968
135	308	1958
136	309	1948
137	311	1948
138	313	1940
139	314	1931
140	315	1921
141	316	1909
142	317	1900
143	318	1890
144	319	1881
145	320	1872
146	321	1863
147	322	1854
148	323	1846
149	324	1839
150	329	1851
151	330	1843
152	332	1838
153	333	1832
154	335	1826
155	336	1819
156	337	1813
157	338	1805
158	343	1818
159	345	1813
160	346	1804
161	347	1797
162	349	1795
163	351	1791
164	352	1783
165	358	1801
166	360	1800
167	362	1796
168	364	1792
169	365	1785
170	367	1781
171	369	1776
172	370	1770
173	371	1762
174	373	1761
175	374	1754
176	375	1746
177	376	1739
178	377	1732
179	378	1725
180	379	1719
181	380	1712
182	382	1705
183	383	1698
184	384	1691
185	385	1685
186	386	1678
187	389	1681
188	390	1675
189	391	1669
190	392	1662
191	393	1656
192	394	1650
193	395	1643
194	396	1637
195	397	1632
196	398	1626
197	400	1620
198	401	1614
199	402	1611
200	404	1606
201	405	1600
202	406	1595
203	407	1589
204	408	1583
205	409	1577
206	410	1571
207	411	1566
208	412	1560
209	413	1555
210	414	1549
211	415	1545
212	418	1545
213	419	1541
214	420	1536
215	421	1531
216	423	1526
217	424	1521
218	425	1516
219	426	1510
220	427	1505
221	428	1501
222	429	1496
223	430	1492
224	432	1489
225	434	1486
226	435	1481
227	436	1477
228	437	1473
229	438	1468
230	439	1464
231	441	1460
232	442	1455
233	443	1450
234	444	1446
235	445	1442
236	447	1441
237	449	1438
238	450	1434
239	451	1429
240	452	1425
241	453	1420
242	454	1416
243	455	1411
244	456	1407
245	458	1404
246	460	1404
247	463	1405
248	464	1402
249	465	1397
250	467	1394
251	468	1389
252	469	1385
253	470	1381
254	471	1378
255	472	1374
256	473	1370
257	475	1366
258	479	1371
259	480	1368
260	481	1364
261	482	1359
262	483	1355
263	487	1359
264	488	1356
265	489	1351
266	493	1354
267	495	1352
268	497	1350
269	498	1347
270	499	1343
271	500	1339
272	501	1335
273	502	1331
274	503	1327
275	505	1325
276	508	1327
277	509	1324
278	510	1320
279	511	1316
280	513	1312
281	514	1309
282	515	1305
283	516	1301
284	517	1297
285	518	1294
286	519	1290
287	520	1286
288	522	1285
289	524	1283
290	525	1280
291	526	1276
292	527	1272
293	528	1269
294	529	1266
295	530	1262
296	531	1258
297	532	1254
298	533	1251
299	535	1248
300	538	1251
301	540	1249
302	542	1248
303	544	1245
304	545	1243
305	546	1239
306	549	1240
307	550	1236
308	553	1237
309	554	1234
310	556	1231
311	557	1228
312	558	1225
313	559	1222
314	560	1219
315	561	1215
316	562	1212
317	563	1209
318	564	1205
319	565	1202
320	569	1203
321	570	1200
322	571	1197
323	572	1194
324	573	1191
325	574	1188
326	575	1184
327	576	1181
328	577	1178
329	578	1175
330	579	1171
331	580	1168
332	583	1168
333	584	1165
334	585	1163
335	587	1160
336	588	1157
337	589	1154
338	590	1151
339	591	1148
340	592	1145
341	593	1142
342	594	1139
343	595	1136
344	598	1136
345	599	1133
346	600	1130
347	602	1127
348	603	1125
349	604	1122
350	605	1119
351	606	1116
352	607	1113
353	608	1110
354	609	1107
355	610	1104
356	613	1104
357	614	1101
358	615	1098
359	616	1095
360	617	1093
361	618	1090
362	619	1087
363	620	1084
364	621	1082
365	622	1079
366	624	1076
367	625	1073
368	627	1073
369	629	1072
370	630	1069
371	632	1066
372	633	1064
373	634	1061
374	635	1058
375	635	1055
376	637	1052
377	638	1050
378	639	1047
379	640	1044
380	642	1044
381	643	1041
382	645	1039
383	645	1036
384	646	1033
385	648	1030
386	649	1028
387	650	1025
388	651	1022
389	652	1019
390	652	1016
391	653	1014
392	655	1012
393	657	1011
394	658	1009
395	659	1006
396	661	1004
397	662	1001
398	663	998
399	664	996
400	665	993
401	666	991
402	667	988
403	668	986
404	669	984
405	672	983
406	674	982
407	675	980
408	676	978
409	677	975
410	678	973
411	680	970
412	681	968
413	682	965
414	683	963
415	684	961
416	685	959
417	687	957
418	688	955
419	689	952
420	691	950
421	692	948
422	693	945
423	694	943
424	695	940
425	696	938
426	697	936
427	699	934
428	700	931
429	702	931
430	703	929
431	704	926
432	705	924
433	706	921
434	707	919
435	708	916
436	709	914
437	711	912
438	712	910
439	713	908
440	714	905
441	715	903
442	716	901
443	718	899
444	719	897
445	720	895
446	721	892
447	722	890
448	723	888
449	725	886
450	726	884
451	727	881
452	728	879
453	731	879
454	732	877
455	733	875
456	734	872
457	735	870
458	736	868
459	737	866
460	739	864
461	740	861
462	741	859
463	742	857
464	743	855
465	745	854
466	746	852
467	748	850
468	749	848
469	750	845
470	751	843
471	752	841
472	753	839
473	754	837
474	755	835
475	756	832
476	757	830
477	758	828
478	760	827
479	762	825
480	763	823
481	764	821
482	765	819
483	766	817
484	767	815
485	768	813
486	769	810
487	770	808
488	772	806
489	773	804
490	775	803
491	776	801
492	777	799
493	778	797
494	779	795
495	780	793
496	782	791
497	783	789
498	784	787
499	785	785
500	786	783
501	787	781
502	788	779
503	791	778
504	792	776
505	793	774
506	794	772
507	795	770
508	796	768
509	797	766
510	798	764
511	799	762
512	800	760
513	801	758
514	803	756
515	805	755
516	806	753
517	811	755
518	814	754
519	815	752
520	816	751
521	822	752
522	823	751
523	825	749
524	827	749
525	829	747
526	830	745
527	831	743
528	832	741
529	833	739
530	838	740
531	840	739
532	841	737
533	842	735
534	843	733
535	846	733
536	848	731
537	852	732
538	854	730
539	855	728
540	856	726
541	857	724
542	859	723
543	860	721
544	865	722
545	868	722
546	869	720
547	870	718
548	871	716
549	872	714
550	874	712
551	875	710
552	876	708
553	877	706
554	878	704
555	880	703
556	882	701
557	883	699
558	884	697
559	885	695
560	886	693
561	889	693
562	890	691
563	892	689
564	893	687
565	894	685
566	896	684
567	898	683
568	899	681
569	900	679
570	901	677
571	904	677
572	906	675
573	907	673
574	915	676
575	917	675
576	918	673
577	919	671
578	922	670
579	926	670
580	930	671
581	931	669
582	932	667
583	934	665
584	935	663
585	936	661
586	937	659
587	938	657
588	941	657
589	942	655
590	944	653
591	945	651
592	946	649
593	947	647
594	948	645
595	949	643
596	950	641
597	951	639
598	953	638
599	954	636
600	956	634
601	957	632
602	958	630
603	959	628
604	960	626
605	961	624
606	962	623
607	963	621
608	964	619
609	965	617
610	966	615
611	968	613
612	970	612
613	971	610
614	972	609
615	974	607
616	975	605
617	976	603
618	977	601
619	978	599
620	979	597
621	980	596
622	982	594
623	983	592
624	984	590
625	985	589
626	986	587
627	988	585
628	989	583
629	990	581
630	991	579
631	992	577
632	993	576
633	995	574
634	996	572
635	998	571
636	999	569
637	1001	568
638	1002	566
639	1003	564
640	1004	562
641	1005	560
642	1006	559
643	1008	557
644	1009	555
645	1010	553
646	1011	551
647	1013	550
648	1015	549
649	1016	547
650	1017	545
651	1018	543
652	1020	542
653	1021	540
654	1022	538
655	1023	536
656	1024	535
657	1025	533
658	1027	531
659	1028	529
660	1030	528
661	1031	526
662	1032	524
663	1033	522
664	1034	521
665	1036	519
666	1037	517
667	1038	516
668	1039	514
669	1040	512
670	1045	512
671	1046	510
672	1049	510
673	1051	508
674	1052	506
675	1053	504
676	1054	503
677	1056	501
678	1061	501
679	1062	500
680	1063	498
681	1064	496
682	1065	494
683	1066	492
684	1067	491
685	1068	489
686	1070	487
687	1071	485
688	1072	484
689	1074	482
690	1075	481
691	1077	479
692	1078	477
693	1079	475
694	1080	474
695	1081	472
696	1082	470
697	1082	468
698	1084	466
699	1085	465
700	1125	480
701	1130	479
702	1133	478
703	1139	479
704	1141	477
705	1143	476
706	1145	474
707	1147	473
708	1148	471
709	1152	470
710	1154	469
711	1156	467
712	1158	466
713	1159	464
714	1161	462
715	1162	461
716	1163	459
717	1165	457
718	1167	456
719	1170	455
720	1172	453
